TITULO,AUTOR,A0,A#0,B0,C1,C#1,D1,D#1,E1,F1,F#1,G1,G#1,A1,A#1,B1,C2,C#2,D2,D#2,E2,F2,F#2,G2,G#2,A2,A#2,B2,C3,C#3,D3,D#3,E3,F3,F#3,G3,G#3,A3,A#3,B3,C4,C#4,D4,D#4,E4,F4,F#4,G4,G#4,A4,A#4,B4,C5,C#5,D5,D#5,E5,F5,F#5,G5,G#5,A5,A#5,B5,C6,C#6,D6,D#6,E6,F6,F#6,G6,G#6,A6,A#6,B6,C7,C#7,D7,D#7,E7,F7,F#7,G7,G#7,A7,A#7,B7,C8
"The Seasons, Opus 37a - April - Snowdrop",Tchaikovsky,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,10,2,5,4,21,25,2,36,2,49,17,14,77,15,115,20,110,97,5,57,50,128,77,46,149,16,38,14,47,23,4,17,9,23,8,4,8,0.0,0.0,1,14,9,0.0,1,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"The Seasons, Opus 37a - May - Starlight Nights",Tchaikovsky,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,15,12,2,21,3,6,4,28,42,8,35,12,56,55,11,58,22,58,23,48,96,5,35,19,85,72,4,56,37,68,11,25,64,9,23,5,16,14,1,12,2,4,0.0,0.0,14,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"The Seasons, Opus 37a - July - Song of the Reaper",Tchaikovsky,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,15,0.0,1,1,0.0,4,3,24,1,0.0,48,0.0,25,0.0,15,60,0.0,24,3,20,6,44,102,5,72,4,59,97,0.0,33,7,108,34,14,71,11,51,2,34,41,0.0,27,4,28,6,2,8,2,7,2,5,5,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Piano Sonata in C major, Hoboken XVI:7 - Movement 2",Haydn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,19,0.0,0.0,0.0,0.0,24,0.0,20,11,12,10,2,51,0.0,4,0.0,22,33,0.0,21,6,12,7,4,45,0.0,19,4,33,82,0.0,62,38,31,42,12,56,11,26,8,19,23,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Danzas españolas - 3 Zarabanda,Enrique Granados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,6,12,12,12,0.0,27,97,0.0,28,0.0,34,14,6,75,16,48,0.0,29,94,0.0,84,0.0,169,49,0.0,75,24,75,26,91,282,0.0,143,4,170,188,0.0,46,8,83,12,90,135,0.0,61,8,51,42,0.0,28,0.0,29,1,13,32,0.0,7,0.0,7,4,0.0,2,0.0,1,1,3,4,0.0,2,0.0,3,2,0.0,0.0,0.0,0.0,0.0
Thunderstorm,Burgmueller,0.0,0.0,0.0,0.0,0.0,19,0.0,0.0,0.0,0.0,11,4,35,13,0.0,7,10,65,6,10,26,2,11,18,57,11,4,8,16,98,6,31,47,11,34,4,72,25,2,18,11,81,0.0,15,15,3,7,0.0,10,2,0.0,2,0.0,6,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,4,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Sonata No. 14 C# minor (Moonlight) , Opus 27/2 - Movement 1",Beethoven,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,1,12,1,39,3,1,16,14,41,2,7,15,3,18,4,79,5,1,16,14,39,3,14,44,3,43,16,80,44,2,64,32,109,14,58,87,14,87,20,85,42,5,30,19,43,5,11,10,0.0,4,1,2,3,1,0.0,2,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Songs without Words Book 2, Opus 30 - Part 1",Mendelssohn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,0.0,8,0.0,26,6,16,10,2,29,0.0,6,4,20,27,0.0,72,6,36,10,38,109,0.0,78,16,109,87,8,123,36,38,24,57,95,0.0,83,38,47,99,2,62,52,14,12,19,41,0.0,14,8,2,1,0.0,2,0.0,0.0,0.0,2,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Piano Sonata in C major, Hoboken XVI:7 - Movement 3",Haydn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,2,0.0,0.0,0.0,0.0,10,0.0,12,0.0,12,14,0.0,20,0.0,18,12,4,42,0.0,12,0.0,60,68,0.0,70,4,26,8,2,128,0.0,8,0.0,26,37,0.0,64,6,50,30,16,46,0.0,20,0.0,12,8,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wedding March,Mendelssohn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,15,1,27,0.0,8,0.0,8,15,0.0,0.0,0.0,14,15,1,29,0.0,8,0.0,8,76,0.0,6,0.0,44,18,1,64,0.0,24,0.0,53,101,1,79,16,50,9,32,21,0.0,9,0.0,9,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
